placa,nombre_completo
57196,ABUNDIO SANTOS CARMEN JULIA
1032742,ACOSTA LOPEZ ALEXIS JUAN
1168140,ADAMES LOPEZ GUSTAVO KHALIL
1168133,AGUILAR CARDOSO YAHIR
1156891,AGUILAR ESPINDOLA ANTONIO DANIEL
759007,AGUILAR MEDINA AGUSTIN
848215,AGUILAR MEJIA IVAN SILVESTRE
1002659,AGUILAR PEREZ OSCAR GEOVANNI
828176,ALAMILLA MARIN JUAN GABRIEL
24337,ALAVEZ HERNANDEZ LEOPOLDO
1168135,ALAVEZ RAMIREZ ANDREA GISSELLE
1151129,ALBERTO PEREZ ROCIO
1151132,ALCANTARA DIAZ BRISA ARIANA
36465,ALEJANDRO GARCIA SAMUEL
1168136,ALFARO ROSADO MARIO OCTAVIO
824641,ALMARAZ CADENA CESAR
1002666,ALPIZAR RODRIGUEZ JOEL GENARO
1151135,ALVA GUADARRAMA MARIA DEL
1038885,ALVARADO LAZCANO RAFAEL
931903,ALVARADO NOLASCO OSCAR
1163089,ALVARADO PALLARES DANIELA GUADALUPE
1127621,ALVARADO VAZQUEZ ELISEO
860398,ALVARADO ZAMUDIO LUIS ANTONIO
1126376,ALVAREZ CABAÑAS JOSE ALFREDO
870066,ALVAREZ MORALES ABRAHAM
1163091,ALVAREZ PEREZ LIZBETH ANAHI
1031063,AMADOR JIMENEZ EDUARDO
1163097,AMBROSIO CHOMPA EDITH
869761,ANALCO VICTORINO MARBEL
829547,ANAYA ROSALES ROBERTO
1151143,ANDRADE HERNANDEZ LAURA AIDE
882753,ANDRADE MURILLO JESUS
991258,ANDRES FERNANDEZ RODRIGO
1151406,AQUINO ORTIZ LIZETH GUADALUPE
1168145,ARAUJO ARROYO AMERICA
1151147,ARECHIGA FLORES ALEJANDRO
1151155,ARENAS CASTRO CRISTIAN ALEXIS
836338,ARENAS RUBALCAVA JOSUE
1168148,ARIAS ANTONIO FELIPE ANGEL
902063,ARIZMENDI AYALA MIGUEL ANGEL
1151163,ARPIDE DURAN GIOVANA ABIGAIL
933637,ARREGUIN BAUTISTA JEENIFER
1163147,ARRIAGA GONZALEZ JOSE
1168154,ARRIAGA PORTILLA MARIA GUADALUPE
915704,ARROYO MARTINEZ ROBERTO AZAEL
931942,ARVIZU ARELLANO DULCE KARINA
1163159,ARVIZU NAVARRO ALAN RAFAEL
55887,ARVIZU NAVARRO DARWIN BRANDOM
991515,AVILA AVILA HUGO ALFONSO
754969,AVILA CALIXTO CARLOS
1151174,BACA CHAVARRIA JONATHAN ALEXANDER
1151178,BAHENA MENDEZ MARTIN ALEJANDRO
939795,BALBUENA ALZALDE ARTURO EDGAR
1151179,BALDERAS BARRADAS MICHELLE
991518,BAÑUELOS PADILLA JORGE DAYAN
869722,BARBA HERNANDEZ JOSE ANGEL
754972,BARON JIMENEZ LUIS
1168349,BARRERA GALICIA GILBERTO ANTONIO
1163173,BARRERA MUÑIZ JESSICA JAZMIN
1156169,BARRERA REYES DAVID
918835,BARRIOS CRUZ JOSE FELIX
1163178,BARRON CASTRO MARIO
1126402,BARRON GRAJEDA LUIS ANGEL
905001,BARRUETA CERVANTES RAUL
1151183,BAUTISTA BARCENAS KARLA IBETH
1163184,BAUTISTA DONALDO
909899,BAUTISTA MUÑOZ OMAR
918838,BAUTISTA NORMANDIA JOSE ALBERTO
1135816,BAUTISTA NORMANDIA ULISES
918839,BAUTISTA RIVERA JOVANNY
1135819,BAUTISTA VICENTE DANIA ITZEL
1126427,BELTRAN PEREZ LUIS FERNANDO
59872,BENEGAS PERALTA GERARDO IVAN
871091,BOIX VALTIERRA MAGDA CAROLINA
917156,BOLAÑOS BALANZAR ELIO ALAN
1163083,BOLAÑOS QUIJADA IAN
1151188,BUSTAMANTE CALIXTO EDUARDO
1151191,CABALLERO GARCIA NOEMI
1163094,CABELLO OCHOA NOHEMA
863893,CALIXTO SANCHEZ FRANCISCO
1168172,CALLADO CASTRO JUAN ARTURO
1126416,CAMARILLO LOPEZ ARLEN PIEDAD
1151200,CANALES CASTILLO OMAR
927035,CARAPIA SECUNDINO ARIANA
1126442,CARBAJAL BADILLO SHARON MISHELL
749685,CARDENAS CORONA SERGIO
1163119,CARMONA CASTILLO KAREN STEFANY
1168189,CARMONA HERNANDEZ MONTCERRATH
1168187,CARMONA RODRIGUEZ LESLIE PAOLA
1151215,CARRILLO ANTONIO ISRAEL
1020805,CASTAÑEDA GUTIERREZ ANAYENTZI
918850,CASTAÑEDA MARTINEZ GERARDO
1168192,CASTELLANOS ROSALES CESAR IYARI
1151221,CASTILLO HERNANDEZ LIZBETH KAREN
1090430,CASTILLO PARTIDA ANDREA
1151226,CASTRO BAUTISTA FERNANDO MIGUEL
1135843,CASTRO ESCARCEGA DULCE YANEL
990642,CASTRO GARCIA CELESTE JUDITH
1151229,CASTRO SALGADO JAVIER
850165,CELSO JUAN DE DIOS
1163152,CERDA VALLEJO ABIGAIL DE
61627,CEREZO CASTRO BRENSI PILAR
1151235,CERVANTES HERNANDEZ DAYANA
916182,CERVANTES MONTES DE OCA
1151131,CERVANTES RAMIREZ FERNANDO SAID
915419,CERVANTES VALLEJO JUAN ANTONIO
990651,CHAVARO RANGEL JOSE MIGUEL
1163160,CHAVEZ GARDUÑO LUIS ANGEL
808091,CHAVEZ GORIBAR JESUS RICARDO
1151137,CHAVEZ MUÑOZ KEVIN
1151141,CHOLICO DE LA CRUZ
876020,CHONG MUÑOZ ERICK ARTURO
755322,CHORA ALCANTARA DAVID
866430,CID BARRANCO JUAN MANUEL
971441,CLAVERIA FLORES JOSE AARON
1163165,COLIN APARICIO GUSTAVO ANGEL
934849,COLIN VICTORIA JESSICA
905056,CORDERO SIERRA YOSEP
1151159,CORONA BUENDIA ALEJANDRO
1168343,CORTES AGUILAR YANETH
916184,CORTEZ GARRIDO CESAR
1127634,CORTEZ ORTIZ KEVIN
939903,CRISTOBAL REYES SILVINO
1163198,CRUZ BLAS HUGO ARMANDO
1029353,CRUZ GACHUZO RAUL
1163208,CRUZ GONZALEZ ARMANDO
918866,CRUZ GONZALEZ KARINA
17004,CRUZ ROLDAN MANUEL MOISES
1090331,CRUZ ROMERO ARACELI
51890,CRUZ TREJO DAVID
990683,CRUZ TREJO ROGELIO
1007357,CRUZ VELAZQUEZ ALBERTO
909917,CRUZ ZELENY DULCE SARAHI
1105362,CUEVAS JIMENEZ DIANE
1163241,CUEVAS MARTINEZ IRAD ABISAI
1151198,DAMIAN MEZA DIANA GABRIELA
1168347,DE JESUS AGUILAR SHADIA
1125291,DE LA CRUZ DELGADILLO
3819,DE LA CRUZ GOMEZ
1126480,DE LA CRUZ HERNANDEZ
1151223,DE LA CRUZ SANCHEZ
1168348,DE LA ROSA VALDEZ
1126492,DE LUCAS AVILA IVAN
1168356,DEL ANGEL VALLADARES KARLA
1108208,DEL VALLE GUZMAN LILIBETH
1156099,DELGADILLO GODINEZ JAZMIN GUADALUPE
918876,DIAZ DE LUNA JOSE
824307,DIAZ MEJIA JORGE MARIO
1126505,DIONICIO HERRERA JOANA
991302,DOMINGUEZ CRISANTES EDWIN DANIEL
927085,DOMINGUEZ FLORENCIO NANCY
1151279,DOMINGUEZ REYES DULCE ALEJANDRA
882814,ECHEVERRIA CAMPOS MARCO POLO
1168375,ENCISO MALVAEZ JESUS ALEJANDRO
984687,ESPINOZA BALDERAS JOSE ANTONIO
882843,ESPINOZA SANCHEZ ANGEL ISRAEL
1020784,ESQUIVEL MARTINEZ EDWIN FERNANDO
850787,ESTRADA AGUIRRE GILBERTO
869843,ESTRADA CELIS BENITO
836392,ESTRADA LOPEZ ISMAEL
1168390,ESTRADA MARTINEZ ILSE MARIAM
1163233,FALCON ESPARZA BRENDA
991327,FERIA PEREZ BERNARDINO
939914,FERREIRA ALANIZ GEOVANNY
1022110,FIDEL JUSTO YESSICA
1168404,FIGUEROA HERNANDEZ JOSE PABLO
1128140,FLORES HERNANDEZ OSCAR
1156153,FLORES MANDUJANO LEONARDO FRANCISCO
1168408,FLORES MERAZ ALEJANDRO
1001099,FLORES ROLDAN PEDRO
16052,FLORES ZAMORA HUGO
1168354,FRANCO LOZANO ALEXIS
909925,FRANCO SOMERA ALONSO ERASMO
753511,FRANCO ZARATE JORGE
990790,FRAUSTO GALICIA MARIO FRANCISCO
1163269,FRIAS MARTINEZ ERIKA GUADALUPE
1151302,GALICIA ANDRADE LIZBETH LESLI
1151371,GALIOTE SOTO URIEL
1151375,GALIZ RODRIGUEZ GABRIELA
48090,GALVAN LOPEZ FRANCISCO
1090355,GARCES PINEDA ALEJANDRA BERENICE
876059,GARCIA ACEVEDO RICARDO
918890,GARCIA ALONSO BRENDA MARIANA
909929,GARCIA ARRIAGA LUCIO CESAR
850815,GARCIA CORTES FRANCISCO MARTIN
916209,GARCIA DELGADILLO JOSE ANGEL
36998,GARCIA GARCIA JESUS FERNANDO
1090380,GARCIA HURTADO KAREN NATALY
888235,GARCIA LOPEZ MARCO ADAN
